"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
-1.756712,3.266574,-4.153388,3.924526,-1.753772,-1.005787,-4.313217,1.560712,-3.295674,-6.213355,4.522992,-6.652844,-0.124685,-8.604486,0.110359,-5.945481,-9.338938,-2.390193,3.184152,0.87472,0.911427,0.053061,-0.367701,-0.776338,0.292094,0.026,1.062968,0.501148,-0.999110715873722,1
1.017102,0.471162,-0.722921,-0.024329,0.349859,-0.901888,0.747971,-0.339838,-0.236545,0.037434,-0.979319,0.092518,0.85796,0.170194,0.743791,-0.067957,-0.387596,-0.3106,0.882907,0.03757,0.029824,0.154555,0.15615,-0.374708,-0.681191,0.995336,-0.144265,-0.158897,-0.973365940417964,0
-0.231516,-0.001006,1.185528,-0.775204,-0.035826,-0.387109,0.240529,-0.286018,-1.403705,0.928851,0.84146,-0.597998,-0.484878,-0.195979,-0.506741,0.257683,0.53376,-0.741326,2.369976,0.252099,0.24622,0.871113,-0.357263,0.068211,-0.067808,-0.029049,-0.147286,-0.105545,-0.982214317474433,0
1.900542,-0.436588,-0.304807,0.504231,-0.786246,-0.750868,-0.403763,-0.093573,1.298534,-0.177631,-0.828747,0.448655,-0.06112,0.006251,0.673342,0.20214,-0.528158,-0.170368,-0.091826,-0.151356,-0.155417,-0.398373,0.338068,-0.000628,-0.450895,-0.628831,0.026067,-0.023438,-0.955544686527345,0
-14.970346,8.401421,-16.867238,8.252334,-13.56513,-2.782438,-14.263735,9.643419,-7.701499,-14.226698,5.610999,-11.793979,1.598387,-11.60697,-0.04418,-9.286955,-19.899726,-7.518051,1.243517,-1.61466,2.714045,-0.101355,-0.439666,0.519514,0.789328,0.064357,-1.621386,-1.104819,-0.757216540684749,1
-0.408111,3.132944,-3.09803,5.803893,0.890609,-0.501474,-0.440054,0.591828,-3.267693,-2.22307,0.757063,-3.501804,0.246742,-6.065622,0.339583,-1.005723,0.334316,0.421261,1.247143,0.499568,0.098482,-0.538375,-0.217989,-1.042657,0.314389,0.543244,0.233851,0.119603,-0.959528679413073,1
-2.179135,0.020218,-2.182733,2.572046,-3.663733,0.081568,0.268049,0.660437,-2.374027,-3.58281,1.975821,-3.500542,0.170681,-2.73594,1.670251,-4.046293,-5.079479,-2.586857,1.669261,1.95796,1.026421,0.299614,1.6568,0.328433,0.106457,0.691775,0.196779,0.241085,-0.362249888839484,1
-3.576362,3.299436,-7.460433,7.783634,-0.398549,-1.968441,-3.110476,-0.328404,-1.574363,-2.497561,4.60417,-9.001915,-1.276324,-13.969471,1.256945,-4.491629,-5.969987,-1.274666,1.147784,-0.181455,0.540731,0.719526,0.379249,-0.616962,-0.442811,0.359841,-2.651825,0.422184,-0.999110715873722,1
-2.356348,1.74636,-6.374624,1.772205,-3.439294,1.457811,-0.362577,1.443791,-1.927359,-6.564659,2.450752,-5.694074,-1.155469,-7.132151,-0.059628,-4.596577,-5.522088,-3.529066,-0.663371,0.19481,0.857942,0.621203,0.964817,-0.619437,-1.732613,0.108361,1.130828,0.415703,-0.352681191640729,1
1.140208,1.156431,-1.471578,2.076278,0.774809,-1.002532,0.264948,0.013162,0.248835,-2.100667,0.763205,-0.944916,-1.419034,-4.68362,0.519282,0.908454,4.133667,1.306205,-1.094716,-0.125097,-0.387895,-0.866812,-0.121583,-0.356109,0.634573,-0.306311,0.094087,0.121065,-0.999110715873722,1
1.934946,0.650678,-0.286957,3.987828,0.316052,-0.099449,-0.021483,-0.172327,0.50873,1.072955,-0.427567,-2.777649,1.63714,1.57108,-1.445367,0.90865,-0.122016,-0.10411,-1.684022,-0.344452,-0.173602,-0.190974,0.219976,-0.216597,-0.136692,-0.129954,-0.050077,-0.051082,-0.999110715873722,1
0.315642,1.636778,-1.51965,4.028571,-1.186794,-0.789813,-2.279807,0.472988,-1.657635,-2.89499,1.601985,-2.824946,1.269204,-5.591364,-0.974827,-2.737795,-4.961534,-2.224797,-0.136117,0.388885,0.345921,-0.108002,-0.165442,0.279895,0.808783,0.117363,0.589595,0.309064,-0.996629613161405,1
-1.360293,-0.458069,-0.700404,2.737229,-1.005106,2.891399,5.802537,-1.933197,-1.017717,1.987862,0.504116,-0.863431,-0.18445,-1.016916,-1.55941,1.154313,-2.043858,-0.151699,-0.943514,-1.493401,-0.93699,-0.053812,0.580106,0.216927,0.151643,-0.332115,-0.4698,-1.495006,-0.262418852823477,1
2.204826,-1.405807,-0.950349,-1.446352,-1.288669,-0.944644,-0.879049,-0.34235,-1.357151,1.528504,-0.87571,-0.360018,1.201173,-0.532374,-0.25221,-0.70202,0.513988,-0.310286,-0.199211,-0.304377,-0.129541,0.097021,0.176357,-0.076432,-0.164568,-0.161113,0.008199,-0.042599,-0.944339706536238,0
1.997244,-0.487663,-0.086279,0.333906,-0.691838,0.090731,-0.916367,0.125837,1.376313,-0.044445,-1.094024,0.473998,0.56626,-0.469543,0.540807,0.61854,-0.68234,0.026119,-0.173929,-0.136588,-0.016034,0.130381,0.328129,0.605998,-0.502718,0.332312,-0.004497,-0.031509,-0.995117830146732,0
-1.585505,3.261585,-4.137422,2.357096,-1.405043,-1.879437,-3.513687,1.515607,-1.207166,-6.234561,5.450746,-7.333714,1.361193,-6.608068,-0.481069,-2.602478,-4.835112,-0.553026,0.351949,0.315957,0.501543,-0.546869,-0.076584,-0.42555,0.123644,0.321985,0.264028,0.132817,-0.999110715873722,1
-2.524012,2.098152,-4.946075,6.456588,3.173921,-3.058806,-0.18471,-0.39042,-3.649812,-4.077585,4.389214,-5.849558,-0.750964,-11.583898,0.83875,-1.461029,0.635694,0.39015,-1.063028,-0.162797,0.027935,0.220366,0.976348,-0.290539,1.161002,0.663954,0.456023,-0.405682,-0.999110715873722,1
-5.753852,0.57761,-6.312782,5.159401,-1.69832,-2.683286,-7.934389,2.37355,-3.073079,-7.145137,6.250068,-9.150823,-1.376141,-9.982585,1.202217,-7.565042,-13.691474,-4.366867,2.181423,0.0175,1.177852,0.175331,-1.211123,-0.446891,-0.40552,-0.165797,1.505516,0.359492,-0.999110715873722,1
-1.927453,1.827621,-7.019495,5.348303,-2.739188,-2.107219,-5.015848,1.205868,-4.382713,-8.337707,7.190306,-9.424844,-0.223293,-12.875494,-0.071918,-6.299961,-12.719207,-3.740176,0.84406,2.172709,1.376938,-0.792017,-0.771414,-0.379574,0.718717,1.111151,1.277707,0.819081,-0.544464206313917,1
-0.720888,0.600954,-0.058318,-0.43904,1.575397,-1.096076,2.608293,-2.093768,1.804103,1.864669,0.176983,-0.847149,0.064395,-2.829406,1.045305,-0.499613,-0.370395,0.466089,-0.104906,0.238638,-0.271527,1.173474,-0.275073,-0.164835,-0.352598,-0.359291,-1.071801,-1.160356,-0.933348154735438,0
0.54964,0.818062,-0.784768,-0.079456,0.570677,-1.462468,1.022883,-0.285481,-0.02868,-0.805467,-0.735136,-0.769174,-1.258616,-0.73482,-0.017063,0.060429,0.829803,-0.010675,0.176237,-0.183169,-0.154034,-0.382962,0.097408,-0.062433,-0.690541,0.429967,-0.027983,0.001565,-0.989550911516229,0
-1.426623,4.141986,-9.804103,6.666273,-4.749527,-2.073129,-10.089931,2.791345,-3.249516,-11.420451,10.853012,-15.969208,0.54669,-14.690729,0.912337,-12.227189,-18.587366,-6.920762,3.166999,1.410678,1.865679,0.407809,0.605809,-0.769348,-1.746337,0.50204,1.977258,0.711607,-0.999110715873722,1
1.197839,0.236828,0.509605,0.657659,-0.365488,-0.745101,0.079497,-0.130536,-0.052263,-0.110058,0.307131,0.670664,0.437974,0.269026,1.127419,-0.196923,0.007704,-1.12264,-0.590918,-0.120981,-0.149876,-0.374211,0.145516,0.414984,0.212156,0.181724,-0.016402,0.015994,-0.99677189862161,0
-3.353642,-3.657682,-2.235179,-2.15404,-1.440952,0.167663,5.736055,-0.657394,-0.601007,-2.779644,0.720464,-0.26439,-1.713436,1.43339,-0.49549,-0.950236,-0.280618,0.753629,0.298169,2.836816,1.161184,0.799037,2.350746,0.617588,2.212106,0.165018,-0.567566,0.108802,0.153339261894175,0
1.429653,-1.415031,-0.614763,0.792571,-0.787539,0.547808,-0.469668,0.153097,1.591225,-0.300571,0.262275,1.643177,0.295186,-0.478472,-1.853798,-0.492614,-0.19218,0.458714,0.409888,0.327314,0.442254,1.173787,-0.249912,0.869772,0.147505,-0.056304,-0.002018,-0.003591,-0.766313917296576,0
2.09492,-0.029576,-1.458672,0.325489,0.323692,-0.658565,-0.04039,-0.253578,2.260892,-0.437862,-0.235386,-3.012709,0.385009,2.168176,0.380533,-0.204619,0.210606,0.55799,-0.340562,-0.353913,0.085156,0.582884,0.012588,0.339348,0.306925,-0.465148,-0.029217,-0.059727,-0.999110715873722,0
-0.721933,0.011357,1.193869,-0.498338,-0.911617,0.601378,1.042219,-0.003324,-0.899221,-0.054561,-1.4402,-0.605696,-0.674146,-0.210907,-0.624977,-1.713904,0.066098,0.692003,-1.526114,-0.653986,-0.499018,-0.861327,0.194125,-0.368709,-0.368017,-0.701062,0.137169,0.111605,-0.810600266785238,0
-2.809222,2.880264,-0.725198,-0.212007,-0.713713,-0.218235,-1.194744,-1.182984,-0.226388,-0.153609,-1.241564,0.722989,1.124383,0.194427,0.760014,0.91862,0.326329,0.150683,0.106684,-0.43311,2.072243,-1.649707,0.391927,-0.549939,0.180821,0.131625,-0.053432,-0.005562,-0.998239217429969,0
1.258789,-1.526712,0.204128,-1.128532,-1.531329,-0.422683,-0.814257,-0.176289,-1.45129,1.230629,-1.269752,-0.808623,0.401855,-0.621598,-0.561035,-0.733736,0.752375,-0.231785,0.320609,-0.054099,-0.349168,-0.774234,-0.120078,-0.129691,0.424434,-0.252729,0.013852,0.039102,-0.863059137394397,0
-2.284095,0.950842,2.421164,0.165229,-1.558691,1.907963,-1.308283,0.951898,0.929724,1.932966,-0.270055,0.82666,0.281081,-1.665671,-1.890269,-2.172603,0.391996,2.134843,0.305418,0.244935,-0.396303,0.340093,-0.371409,0.691552,0.592366,-0.290705,-0.135277,-0.374416,-0.986660738105825,0
1.111137,0.058045,0.017382,1.249269,0.478713,0.871117,-0.107408,0.13076,1.436603,-0.338845,1.0135,-1.834505,1.332229,1.698908,-1.406712,-0.194397,0.339366,0.219333,0.145128,-0.103106,-0.250881,-0.396494,-0.247106,-1.195331,0.737363,-0.30069,-0.003573,-0.004416,-0.948421520675856,0
-1.067713,5.262312,-8.438567,7.316487,0.008254,-2.125936,-3.307036,1.869838,-4.522584,-5.172812,5.591126,-5.640417,0.78451,-12.043806,0.353815,-1.920558,-1.879928,0.679751,0.797641,0.821405,0.54779,-0.49196,0.055914,-1.145369,0.068951,0.535055,0.539263,0.124255,-0.999315251222766,1
-0.750293,-0.050584,1.935194,-0.196189,0.048322,0.896162,-0.261645,0.369073,1.4124,-0.966008,-2.895768,-0.042463,-0.273332,-1.251607,-2.172452,-0.026143,-0.296223,-0.033975,0.579744,-0.193033,-0.188806,-0.098146,-0.052259,-0.953778,-0.220864,0.356816,0.051737,0.127613,-0.992974655402401,0
-2.111526,-1.173029,3.020991,0.010462,-0.047268,2.241183,-0.070033,0.31766,2.771411,-0.030532,-1.063971,-0.258242,-1.502049,-1.837183,-0.176344,-1.719731,0.840135,-1.027186,-0.403224,0.274618,-0.163459,1.135709,0.16755,-1.017472,0.55343,0.117339,0.16547,-0.187022,-0.885549132947977,0
0.913116,1.145381,-4.602878,2.091803,-0.473224,-2.085436,-1.671244,0.094397,0.337799,-4.43181,4.87198,-5.395221,1.332502,-4.603797,-0.777314,-2.571892,-3.003615,-0.225441,0.252274,0.508985,0.401416,-0.084933,-0.197684,-0.283271,0.387597,-0.553527,0.516274,0.270828,-0.868501556247221,1
1.184329,-0.224641,0.692634,0.097615,-0.573848,0.109335,-0.739331,0.199908,1.748807,-0.345394,1.982635,-2.591048,0.071193,2.012647,0.339034,0.565393,0.297931,0.514101,-0.336721,-0.199892,-0.028644,0.098604,-0.017571,-0.324405,0.091792,1.068998,-0.087984,-0.014756,-0.986705202312139,0
-0.379777,0.939138,1.24414,0.094694,-0.13491,-1.033881,0.596389,0.031983,-0.114828,-0.462374,-0.528237,-1.067395,-1.738247,-0.057044,1.099506,0.4707,0.114755,0.093766,-0.080789,0.023171,-0.277061,-0.843851,0.035366,0.282137,-0.218384,0.077796,0.229142,0.09561,-0.988901734104046,0
-1.271244,2.462675,-2.851395,2.32448,-1.372245,-0.948196,-3.065234,1.166927,-2.268771,-4.881143,2.255147,-4.686387,0.652375,-6.174288,0.59438,-4.849692,-6.536521,-3.119094,1.715494,0.560478,0.652941,0.081931,-0.221348,-0.523582,0.224228,0.756335,0.6328,0.250187,-0.999991107158737,1
1.062059,0.023587,0.466927,1.352126,-0.290867,0.015643,-0.060456,0.163867,0.150205,0.059364,1.19135,0.809758,-1.143126,0.45809,-0.708041,-0.540844,0.138544,-0.434393,-0.156077,-0.195862,-0.032998,0.007839,-0.059009,0.221593,0.567176,-0.342336,0.026082,0.010041,-0.971889728768341,0
-21.885434,12.930505,-24.098872,6.203314,-16.466099,-4.459842,-16.519836,14.535565,-3.897022,-8.650758,5.375434,-7.567214,0.461808,-7.827891,-0.022815,-6.578042,-13.002459,-4.884467,1.104355,1.611998,1.762232,-1.579055,-0.951043,0.134565,1.50711,-0.222671,1.527655,0.453699,-0.911080480213428,1
-0.908826,-0.494598,0.431605,-2.90657,-0.979674,-0.306033,-0.073965,0.33151,-2.216196,0.383038,-1.384249,-0.564149,1.389031,-0.538777,-0.936433,-0.170614,0.225618,0.085265,-0.846444,0.03258,-0.005148,0.121508,0.214366,0.64456,0.004045,-0.305662,0.217554,0.132249,-0.874610938194753,0
-1.497176,1.969503,2.560467,3.022849,-0.869732,1.039313,-1.073949,-0.868342,0.018038,0.333864,2.007231,-1.346591,2.66283,1.482793,-0.688581,0.227966,0.885832,1.086714,0.724826,-0.130799,1.607477,0.105527,-0.037517,0.499315,0.163669,0.352317,0.309273,0.081429,-0.988679413072477,0
-1.172183,1.661713,-3.049637,2.555058,3.669035,-3.162998,-5.98564,-2.179935,-1.120292,-3.075558,0.997449,-3.191915,-1.514857,-4.267296,-0.159554,-2.916463,-2.819906,-1.417231,0.325195,0.548106,-0.812098,-0.295361,-5.988806,0.714381,-1.600024,-0.634783,0.822713,0.494375,-0.998221431747443,1
-2.790771,-1.464269,1.031165,1.921356,-0.090014,-0.483871,0.780731,-0.348776,0.609133,0.225934,-1.064534,-0.787373,-1.57647,-0.126756,0.367012,-0.635322,0.327006,0.043816,1.403574,-1.376721,-0.392667,0.44002,0.777659,0.418552,0.244563,-0.159361,0.06054,0.356958,-0.814513116940863,1
-1.035865,1.157923,1.5563,-0.055159,0.857027,0.295143,0.8124,-0.400243,-0.214471,1.086334,0.69913,0.285677,0.730061,-0.367607,0.904414,0.099484,-0.938792,0.477788,1.765979,0.510981,-0.367911,-0.663724,-0.401305,-0.824383,0.159035,0.256531,-0.343803,-0.229431,-0.996478434859938,0
0.908637,2.849024,-5.647343,6.009415,0.216656,-2.397014,-1.819308,0.338527,-2.819883,-4.063098,2.94119,-6.151362,-1.989529,-9.150951,-0.60429,-1.95229,-2.892555,-0.912058,-1.56374,0.241921,0.40726,-0.397435,-0.080006,-0.168597,0.465058,0.21051,0.648705,0.360224,-0.998950644730992,1
0.563009,-1.660546,0.748628,0.512923,-1.21888,1.169352,-0.817626,0.279683,-0.791546,0.740514,0.611872,0.852634,1.513763,-0.242678,0.947062,-0.550504,-0.838369,2.21588,-1.480398,0.266064,0.138173,0.175071,-0.391472,-0.80264,0.160153,-0.21363,0.052324,0.089606,-0.679644286349489,0
1.223314,0.251536,0.164771,0.933153,-0.119224,-0.472682,0.058735,-0.023294,-0.142645,0.205914,0.886096,0.375563,-0.769306,0.713388,0.324285,0.375578,-0.753648,0.541281,0.047222,-0.168967,0.049337,0.118052,-0.143354,-0.004576,0.67612,-0.323088,0.004594,0.005332,-0.995820364606492,0
1.695768,-0.476536,-1.786818,0.411051,0.345499,-0.080735,0.074692,-0.050008,0.607031,-0.545933,0.850523,1.080156,0.699693,-1.023936,-0.166472,0.608306,0.040108,0.95155,0.223712,0.237334,0.034837,-0.110055,-0.026932,0.111402,-0.042075,-0.420956,-0.013012,0.003697,-0.846509559804357,0
-13.192671,12.785971,-9.90665,3.320337,-4.801176,5.760059,-18.750889,-37.353443,-0.39154,-5.052502,4.406806,-4.610756,-1.909488,-9.072711,-0.226074,-6.211557,-6.248145,-3.149247,0.051576,-3.49305,27.202839,-8.887017,5.303607,-0.639435,0.263203,-0.108877,1.269566,0.939407,-0.999110715873722,1
-1.201398,4.864535,-8.328823,7.652399,-0.167445,-2.767695,-3.176421,1.623279,-4.367228,-5.533443,4.106405,-6.331825,0.671785,-12.156587,1.020252,-2.110863,-1.558545,0.195992,0.502453,0.597026,0.53232,-0.556913,0.192444,-0.698588,0.025003,0.514968,0.378105,-0.053133,-0.999315251222766,1
-22.561699,13.208904,-24.643819,6.232532,-16.905611,-4.497439,-16.810184,14.955107,-3.871297,-8.581266,5.256988,-7.393615,0.538801,-7.577552,-0.030726,-6.454783,-12.845657,-4.865918,1.062442,1.621444,1.765987,-1.635517,-0.998317,0.138972,1.55935,-0.222125,1.504425,0.44592,-0.911080480213428,1
0.725646,2.300894,-5.329976,4.007683,-1.730411,-1.732193,-3.968593,1.063728,-0.486097,-4.624985,5.588724,-7.148243,1.680451,-6.210258,0.495282,-3.59954,-4.830324,-0.64909,2.250123,0.504646,0.589669,0.109541,0.601045,-0.3647,-1.843078,0.351909,0.59455,0.099372,-0.999110715873722,1
-1.465316,-1.093377,-0.059768,1.064785,11.095089,-5.430971,-9.378025,-0.446456,1.99211,1.785922,1.368585,-1.471697,-0.724759,3.442422,-0.957403,-1.626129,1.418215,-1.417917,-1.651766,-1.45761,1.160623,-1.259697,-15.981649,-0.88367,-3.536716,-0.592965,0.675525,0.424849,-0.999181858603824,1
-2.445611,-6.616814,-1.159859,0.358956,-3.393523,-0.430185,1.882168,-0.580088,1.702223,-2.061797,-0.07505,0.937219,0.365993,0.215152,1.55198,-0.277999,0.098268,0.48015,-0.051314,3.803005,1.294918,-0.344908,-1.751919,0.884977,-0.254515,-0.127688,-0.31368,0.359871,0.703868385949311,0
-2.272473,2.935226,-4.871394,2.419012,-1.513022,-0.480625,-2.126136,1.883507,-1.297262,-5.487425,2.96924,-3.055405,-0.316544,-7.862809,-2.2028,-1.932316,-2.284748,0.324787,-0.183181,-0.031085,0.718504,0.89385,-0.031632,0.322913,-0.058406,-0.411649,0.573803,0.176067,-0.843574922187639,1
-4.194074,4.382897,-5.118363,4.45523,-4.812621,-1.224645,-7.281328,3.33225,-3.679659,-7.524368,2.954344,-7.099825,1.520369,-7.687803,-0.225002,-8.52085,-13.2773,-5.253705,3.623332,0.579098,1.550473,0.614573,0.028521,0.013704,-0.149512,-0.131687,0.473934,0.473757,-0.987140951534015,1
1.001992,0.047938,-0.349002,1.493958,0.186939,0.190966,-0.001112,0.14714,0.580415,-0.792938,-0.984172,-0.56738,-1.105592,-1.381214,0.40549,0.27989,1.13216,0.092993,-0.29892,0.016004,-0.334417,-1.014315,-0.128427,-0.946242,0.45609,-0.453206,0.046627,0.064698,-0.905744775455758,1
-0.899427,0.309867,1.260686,0.383527,1.017502,-0.848251,0.167444,-0.130771,-0.329661,0.302594,1.23233,0.181285,-0.33562,-0.311597,0.667182,0.328971,-0.2127,0.572103,1.033659,0.117416,-0.257443,-0.475416,-0.141641,-0.026239,-0.733621,0.076799,0.186727,-0.04659,-0.995215651400623,0
-0.694052,0.984528,1.750015,-0.317659,0.264816,-0.941642,0.797214,-0.027767,-0.611512,-1.029011,0.413362,0.316915,0.197879,-0.40487,0.631145,0.171724,0.205349,-0.849843,-1.299327,-0.112992,-0.126518,-0.431627,0.027032,0.56074,-0.332562,-0.070712,0.065334,0.125106,-0.998239217429969,0
1.882003,-0.745679,-0.724015,0.044363,-0.439663,0.208832,-0.734899,0.204459,0.986994,0.224108,0.300662,0.176709,-0.858476,0.300329,0.376255,0.94436,-1.015764,0.878316,0.07813,-0.062176,0.221623,0.509062,0.115435,0.306276,-0.362781,0.622384,-0.064325,-0.046878,-0.935082258781681,0
-0.627738,1.496561,0.949249,0.462909,-0.183466,-0.898197,0.381438,0.18395,-0.891135,-0.661939,-0.13931,0.703982,1.490699,-0.285659,1.022438,0.155272,0.328285,-0.153172,0.594357,0.00187,-0.08482,-0.362216,0.085952,0.382065,-0.682337,0.072854,-0.116295,0.112211,-0.999208537127612,0
-1.101847,-1.632441,0.901067,0.847753,-1.249091,0.654937,1.448868,0.023308,-0.136742,-0.150129,1.172355,-0.795988,-2.136951,0.578869,1.412115,0.013467,-0.119204,0.826814,0.47686,1.230278,0.610654,0.835795,1.179955,-0.029091,-0.300896,0.699175,-0.336072,-0.177587,-0.537661182747888,1
-1.786519,1.139621,1.09397,0.026578,-0.395782,0.541037,-0.389047,1.328705,-0.471532,-0.778194,0.814959,0.486365,-1.648491,0.959762,-0.433572,-0.508272,0.825634,-0.693949,0.007106,-0.259676,-0.035991,-0.232993,-0.147585,-0.297364,0.222343,0.357323,-0.07869,-0.068659,-0.984232992441085,0
1.829867,-0.576044,-1.262163,0.118992,-0.067872,-0.424134,0.100697,-0.162534,0.761349,-0.106145,0.430991,1.446187,0.535583,0.165581,-1.005118,-0.194062,-0.555186,-0.060726,0.785004,0.036204,-0.074694,-0.194597,0.044249,-0.455789,-0.04899,-0.091979,-0.044669,-0.051158,-0.902072032014229,0
1.95363,-0.156384,-0.220026,0.437958,-0.253,0.040614,-0.631048,0.009504,2.129633,-0.402616,2.030432,-0.755566,2.723469,1.371493,-0.861468,0.326418,-0.132591,0.467618,0.002252,-0.163557,-0.270515,-0.401586,0.399932,0.686086,-0.431573,-0.720186,0.006719,-0.037629,-0.994006224988884,0
1.082566,1.094862,-1.36702,2.012554,0.708142,-0.807712,0.151952,0.158353,0.009872,-1.925278,2.605937,-0.309219,-1.767549,-4.429195,-0.17194,1.055514,3.970587,1.762249,-0.880812,-0.135789,-0.325284,-0.734344,-0.106725,-0.224999,0.569167,-0.335033,0.08914,0.112337,-0.999110715873722,1
-0.019058,-2.807362,-0.607891,0.161847,-1.677273,-0.555738,0.555769,-0.291337,-0.723115,0.287206,-0.423996,-0.459724,-1.017571,0.469106,0.406692,-2.035045,0.801331,0.332909,-1.160608,0.810632,0.011579,-0.982855,-0.539727,0.462574,0.018191,1.030139,-0.192652,0.117715,-0.368892841262784,0
